fleetid,fleetcode,fleetname,flagid,flagcode,flagname,statuscode
519SL00,NEI.040,NEI (Sierra Leone),500,NEI.FLAGS,NEI (Flag related),NCO
520UY00,NEI.042,NEI (Uruguay),500,NEI.FLAGS,NEI (Flag related),NCO
521IE00,NEI.066,NEI (Ireland),500,NEI.FLAGS,NEI (Flag related),NCO
522HN00,NEI.071,NEI (Honduras),500,NEI.FLAGS,NEI (Flag related),NCO
523ST00,NEI.079,NEI (S. Tome e Principe),500,NEI.FLAGS,NEI (Flag related),NCO
524GQ00,NEI.081,NEI (Eq. Guinea),500,NEI.FLAGS,NEI (Flag related),NCO
525GW00,NEI.094,NEI (Guine Bissau),500,NEI.FLAGS,NEI (Flag related),NCO
526RU00,NEI.104,NEI (Russian Fed.),500,NEI.FLAGS,NEI (Flag related),NCO
527GN00,NEI.105,NEI (G. Conakry),500,NEI.FLAGS,NEI (Flag related),NCO
528VC00,NEI.111,NEI (St. Vincent),500,NEI.FLAGS,NEI (Flag related),NCO
529GB00,NEI.112,NEI (EC.GBR),500,NEI.FLAGS,NEI (Flag related),NCO
530CN00,NEI.118,NEI (China),500,NEI.FLAGS,NEI (Flag related),NCO
531BZ00,NEI.134,NEI (Belize),500,NEI.FLAGS,NEI (Flag related),NCO
532GE00,NEI.144,NEI (Georgia),500,NEI.FLAGS,NEI (Flag related),NCO
533GM00,NEI.147,NEI (Gambia),500,NEI.FLAGS,NEI (Flag related),NCO
534BY00,NEI.157,NEI (Belarus),500,NEI.FLAGS,NEI (Flag related),NCO
535KH00,NEI.166,NEI (Cambodia),500,NEI.FLAGS,NEI (Flag related),NCO
536PM00,NEI.172,"NEI (France, S. Pierre Miquellon)",500,NEI.FLAGS,NEI (Flag related),NCO
700EC00,EU,EU (unspecified),700,EU,EU (unspecified),CP
800--00,MIX.FIS,France + C. Ivoire + Senegal,800,MIX.FIS,Mixed flags (FIS),NCO
801--00,MIX.KR+PA,Korea + Panama,801,MIX.KR+PA,Mixed flags (KR+PA),NCO
802--00,MIX.FR+ES,EU.France+Espana,802,MIX.FR+ES,Mixed flags (FR+ES),NCO
803--00,MIX.EC-ETRO,MIX (ESP+FRA+NEI),803,MIX.EU-ETRO,Mixed flags (EU tropical),NCO
900JP00,JPN.REF,Japan (Reference data),900,JPN.ref,Japan,NCO
910CA00,JPN.OB.CAN,Japan (observed by Canada),910,JPN.obs,Japan (foreign obs.),NCO
910DZ00,JPN.OB.DZA,Japan (observed by Algeria),910,JPN.obs,Japan (foreign obs.),NCO
910SH00,JPN.OB.SHN,Japan (observed by Sta. Helena),910,JPN.obs,Japan (foreign obs.),NCO
910US00,JPN.OB.USA,Japan (observed by USA),910,JPN.obs,Japan (foreign obs.),NCO
911SH00,TAI.OB.SHN,Chinese Taipei (observed by Sta. Helena),911,TAI.Obs,Chinese Taipei (foreign obs.),NCO
912SH00,HND.OB.SHN,Honduras (observed by Sta. Helena),912,HND.Obs,Honduras (foreign obs.),NCO
913SH00,PAN.OB.SHN,Panama (observed by Sta. Helena),913,PAN.Obs,Panama (foreign obs.),NCO
914SH00,SGP.OB.SHN,Singapore (Observed by Sta. Helena),914,SGP.Obs,Singapore (foreign obs.),NCO
915SH00,BLZ.OB.SHN,Belize (Observed by Sta. Helena),915,BLZ.Obs,Belize (foreign obs.),NCO
916SH00,SYC.OB.SHN,Seychelles (Observed by Sta. Helena),916,SYC.Obs,Seychelles (foreign obs.),NCO
920--00,GHA.ICCAT,Ghana (ICCAT program),920,GHA.ICCAT,Ghana (ICCAT program),NCO
921--00,JPN.ICCAT,Japan (ICCAT program),921,JPN.ICCAT,Japan (ICCAT program),NCO
922--00,CUB.ICCAT,Cuba (ICCAT program),922,CUB.ICCAT,Cuba (ICCAT program),NCO
923--00,CHN.ICCAT,China (ICCAT program),923,CHN.ICCAT,China (ICCAT program),NCO
999--99,UNCL.FLEETS,OTHERS (Unclassified fleets),999,UNCL,Unclassified flag,NCO
